catalogNumber;genus;specificEpithet;scientificNameAuthorship;acceptedNameUsage;family;countryCode;locality;year;recordedBy;Image GUID
BERN-0065018_1;Odontites;vulcanicus;Bolliger;Odontites vulcanicus Bolliger;Orobanchaceae;MA;Jbel Mischliffen;1988;Bolliger Markus | Moser Daniel M.;ff746194-9d05-4b03-bbc2-c4d720a868b2
Sheet-0061941;Potamogeton;praelongus;Wulfen;Potamogeton praelongus Wulfen;Potamogetonaceae;FI;Koli at Pielinen-See?;1981;n.s.;cb279821-a127-4aef-b56f-803c24954da6
Sheet-0061953;Potamogeton;praelongus;Wulfen;Potamogeton praelongus Wulfen;Potamogetonaceae;CH;Lac de Bretaye;1857;J.M.;7d101353-3877-4020-a030-0c1da0abf968
Sheet-0061954;Potamogeton;praelongus;Wulfen;Potamogeton praelongus Wulfen;Potamogetonaceae;CH;Lac de Bretaye;0;n.s.;e221baec-b8ce-4459-8305-1c344dd58649
Sheet-0061924;Potamogeton;compressus;L.;Potamogeton compressus L.;Potamogetonaceae;CH;Lac de la Brevine;0;Thomas;b3661f0f-a44c-43c0-98a4-70b51bfbd1fa
Sheet-0061918;Potamogeton;compressus;L.;Potamogeton compressus L.;Potamogetonaceae;CH;Lac des Tailleres;1905;Rytz W.;67d38403-a3a4-4c0a-b48b-06ed73ca4005
Sheet-0061919;Potamogeton;compressus;L.;Potamogeton compressus L.;Potamogetonaceae;CH;Lac des Tailleres;1866;Tieche Ed.;235f56fa-ef9f-4e52-8cb6-31b663457b45
Sheet-0061920;Potamogeton;compressus;L.;Potamogeton compressus L.;Potamogetonaceae;CH;Lac des Tailleres;1868;Grezet U.;c42f9c7a-ca5e-4c43-b5e4-bbe74106a4ae
Sheet-0061921;Potamogeton;compressus;L.;Potamogeton compressus L.;Potamogetonaceae;CH;Lac des Tailleres;1866;Tieche Ed.;648a8428-da1c-40a6-8316-95428e82e242
Sheet-0061922;Potamogeton;compressus;L.;Potamogeton compressus L.;Potamogetonaceae;CH;Lac des Tailleres;1866;Montandon R.;b7fbe67b-5089-4cf6-a522-045f60dd1768
Sheet-0061925;Potamogeton;compressus;L.;Potamogeton compressus L.;Potamogetonaceae;CH;Lac des Tailleres;1870;Perret Ali;82d961d4-d24b-4a2a-9944-aee7f35c63d7
Sheet-0061926;Potamogeton;compressus;L.;Potamogeton compressus L.;Potamogetonaceae;CH;Lac des Tailleres;1866;Tieche Ed.;9a87dd33-8ec6-4b0d-8c21-96f8b8a86c76
Sheet-0061927;Potamogeton;compressus;L.;Potamogeton compressus L.;Potamogetonaceae;CH;Lac des Tailleres;1905;n.s.;bf156483-07af-445d-9b40-1c4cdd680398
Sheet-0061923;Potamogeton;compressus;L.;Potamogeton compressus L.;Potamogetonaceae;CH;Lac des Tailleres;0;Payot;a08302be-785a-491c-b5d4-ed7befb2b15c
Sheet-0061951;Potamogeton;praelongus;Wulfen;Potamogeton praelongus Wulfen;Potamogetonaceae;CH;Lac des Tailleres;1866;R.;d6817e51-ddd6-43ad-9677-ac0967325763
Sheet-0061952;Potamogeton;praelongus;Wulfen;Potamogeton praelongus Wulfen;Potamogetonaceae;CH;Lac des Tailleres;1866;R.;6a5d53f8-a278-44e3-ad98-ffbbe7d3e113
Sheet-0061955;Potamogeton;praelongus;Wulfen;Potamogeton praelongus Wulfen;Potamogetonaceae;CH;Lac des Tailleres;1866;Tieche Ed.;f7abb188-af6d-46f7-981e-0a613ddd113f
Sheet-0061956;Potamogeton;praelongus;Wulfen;Potamogeton praelongus Wulfen;Potamogetonaceae;CH;Lac des Tailleres;1866;Grezet Ulysse;0248f879-1e14-4518-a83e-ef3fe3d23264
Sheet-0061957;Potamogeton;praelongus;Wulfen;Potamogeton praelongus Wulfen;Potamogetonaceae;CH;Lac des Tailleres;1866;Tieche Ed.;126e05ea-8939-449f-a3e5-67337131a5aa
Sheet-0061958;Potamogeton;polygonifolius;Pourret;Potamogeton polygonifolius Pourr.;Potamogetonaceae;CH;Lago di Muzzano;1943;Berger E.;c0e22d4e-2ed8-44f4-89dd-ded4e51080be
Sheet-0061959;Potamogeton;polygonifolius;Pourret;Potamogeton polygonifolius Pourr.;Potamogetonaceae;CH;Lago di Muzzano;1943;Berger E.;dacdc669-747a-45db-a9de-32507958e17e
Sheet-0061960;Potamogeton;polygonifolius;Pourret;Potamogeton polygonifolius Pourr.;Potamogetonaceae;CH;Lago di Muzzano;1943;Berger E.;453552e7-9246-43e4-9400-087e286794e6
Sheet-0061961;Potamogeton;polygonifolius;Pourret;Potamogeton polygonifolius Pourr.;Potamogetonaceae;CH;Lago di Muzzano;1943;Berger E.;943fd390-e9a5-4862-af2f-e0faaa452dd5
Sheet-0061962;Potamogeton;polygonifolius;Pourret;Potamogeton polygonifolius Pourr.;Potamogetonaceae;CH;Lago di Muzzano;1943;Berger E.;1e849103-e4b0-4570-a904-13347ccfe791
Sheet-0061942;Potamogeton;praelongus;Wulfen;Potamogeton praelongus Wulfen;Potamogetonaceae;CH;Lake of Davos, northeast part;1918;Noack M.;77b8701e-d570-4a07-89f7-abb820c8560c
Sheet-0061928;Potamogeton;plantagineus Du;Croz ex Roem. & Schult.;Potamogeton coloratus Hornem.;Potamogetonaceae;CH;Lingachmoos?;1878;n.s.;34641181-8e1b-4b66-8887-475f1c1ebe41
Sheet-0061965;Potamogeton;polygonifolius;Pourret;Potamogeton polygonifolius Pourr.;Potamogetonaceae;CH;Lurganese: Pianacce near Lisone;1959;Becherer A.;c825a07f-82a5-43c0-9303-0d7fb1095512
Sheet-0061964;Potamogeton;polygonifolius;Pourret;Potamogeton polygonifolius Pourr.;Potamogetonaceae;CH;Medeglia, Alpe di Medeglia;1950;Berger E.;5fd8e382-67f3-4f8c-ad42-51fb54456d5d
Sheet-0061966;Potamogeton;polygonifolius;Pourret;Potamogeton polygonifolius Pourr.;Potamogetonaceae;CH;Medeglia, Alpe di Medeglia;1950;Berger E.;e74cc0ff-497f-429e-ba3d-8e84acff1cef
Sheet-0061934;Potamogeton;coloratus;Hornem.;Potamogeton coloratus Hornem.;Potamogetonaceae;CH;Moulin de Cheyres;1972;Gerber H.;d01609e4-e759-4ff8-9a5f-80d7d4cfd412
BERN-0065014;Taraxacum;nitidiorum;van Soest;Taraxacum nitidiorum Soest;Asteraceae;FR;Murles;1964;Sutter Ruben;005df7a2-4b07-42ab-b7ee-521a51e68790
BERN-0065021;Heuchera;americana;;Heuchera americana L.;Saxifragaceae;US;n.s.;1981;Lindtner P.;6f535c1d-237a-4dc1-8115-5dc448e4cde6
BERN-0065015;Taraxacum;multidentatum;van Soest;Taraxacum multidentatum Soest;Asteraceae;FR;near Le Tinal, above Montferrier;1964;Sutter Ruben;060fab31-4023-4a45-ac39-ac8b2555ba02
BERN-0065015_1;Taraxacum;multidentatum;van Soest;Taraxacum multidentatum Soest;Asteraceae;FR;near Le Tinal, above Montferrier;1964;Sutter Ruben;667f5d60-741f-4a2d-8408-8d174ff2244d
BERN-0065016;Taraxacum;multidentatum;van Soest;Taraxacum multidentatum Soest;Asteraceae;FR;near Le Tinal, above Montferrier;1964;Sutter Ruben;9be9356b-22a3-40e3-8f19-3798989947ce
BERN-0065010;Hieracium;sp.;;Hieracium sutteri Soest in Sutter;Asteraceae;FR;North slope of Pic Saint-Loup;1962;Sutter Ruben;35faf868-28fe-4289-8835-85bd31699629
BERN-0065010_1;Hieracium;sp.;;Hieracium sutteri Soest in Sutter;Asteraceae;FR;North slope of Pic Saint-Loup;1962;Sutter Ruben;c0b0483f-1f50-458b-9e1b-1934d4b60aff
BERN-0065009;Hieracium;amplexicaule x stelligerum;Froel.;Hieracium sutteri Soest in Sutter;Asteraceae;FR;North slope of Pic Saint-Loup;1958;Sutter Ruben;ef035923-876a-4169-b7ed-ebb7167c824c
BERN-0065009_1;Hieracium;amplexicaule x stelligerum;Froel.;Hieracium sutteri Soest in Sutter;Asteraceae;FR;North slope of Pic Saint-Loup;1958;Sutter Ruben;2e6f0abd-4cbd-427a-9bbe-366a8d2bf575
BERN-0065009_2;Hieracium;amplexicaule x stelligerum;Froel.;Hieracium sutteri Soest in Sutter;Asteraceae;FR;North slope of Pic Saint-Loup;1958;Sutter Ruben;e28720e1-5fd2-473c-ae9b-180e74e86424
BERN-0065023;Saxifraga;spinulosa;Adam;Saxifraga spinulosa Adams;Saxifragaceae;RU;Olchon Insel;1984;Clerc Ph. | Ammann Klaus | Scheidegger Chr.;3882071b-6808-4bb1-aea2-4af46037097f
BERN-0065024;Saxifraga;spinulosa;Adam;Saxifraga spinulosa Adams;Saxifragaceae;RU;Olchon Insel;1984;Clerc Ph. | Ammann Klaus | Scheidegger Chr.;0a4b6c17-547a-470f-bb82-a4bc2a698bac
BERN-0065025;Saxifraga;spinulosa;Adam;Saxifraga spinulosa Adams;Saxifragaceae;RU;Olchon Insel;1984;Clerc Ph. | Ammann Klaus | Scheidegger Chr.;9a391f13-184a-470e-a82d-02c0f22a1b04
BERN-0065001;Pulmonaria;longifolia subsp. Glandulosa;Bolliger;Pulmonaria longifolia (Bastard) Boreau;Boraginaceae;PT;Road from Fundao to Alpedrinha, 0.1 km before the turnoff to Alcaide, on the right on the steep slope;1978;Bolliger Markus;423a18eb-b36a-440e-a444-4c0b53479b40
